[2023-2-27 - 14:51:59:640][DEBUG]   Adapter 0 : NVIDIA GeForce RTX 3060 Laptop GPU
[2023-2-27 - 14:57:20:497][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:57:22:461][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:57:22:498][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:57:24:510][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:57:24:577][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:57:30:244][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:57:30:279][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:57:32:297][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:57:32:328][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:57:34:327][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:57:34:412][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:57:40:279][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:57:40:309][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:57:42:279][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:57:42:310][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:57:44:327][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:57:44:412][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:57:50:80][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:57:50:109][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:57:52:127][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:57:52:163][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:57:54:164][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:57:54:249][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:0:97][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:0:127][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:58:2:96][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:58:2:126][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:4:145][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:4:229][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:58:9:897][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:58:9:927][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:11:945][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:11:981][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:58:13:981][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:58:14:61][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:19:896][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:19:927][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:58:21:896][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:58:21:926][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:23:945][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:24:30][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:58:29:715][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:58:29:745][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:31:762][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:31:793][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:58:33:793][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:58:33:878][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:39:714][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:39:745][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:58:41:714][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:58:41:744][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:43:762][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:43:847][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:58:49:527][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:58:49:563][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:51:581][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:51:611][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:58:53:611][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:58:53:696][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:58:59:514][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:58:59:545][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:59:1:514][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:59:1:544][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:59:3:562][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:59:3:647][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:59:9:345][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:59:9:380][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:59:11:392][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:59:11:429][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:59:13:429][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:59:13:513][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:59:19:326][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:59:19:362][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:59:21:331][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:59:21:363][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:59:23:380][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:59:23:460][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:59:29:161][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:59:29:198][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:59:31:192][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:59:31:228][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:59:33:228][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:59:33:314][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:59:39:131][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:59:39:162][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:59:41:143][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:59:41:180][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:59:43:198][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:59:43:277][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:59:48:998][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:59:49:29][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:59:51:28][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:59:51:65][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:59:53:64][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:59:53:144][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:59:58:944][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:59:58:980][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 15:0:0:944][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 15:0:0:979][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 15:0:2:998][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 15:0:3:95][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 15:0:8:809][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 15:0:8:846][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 15:0:10:846][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 15:0:10:876][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 15:0:12:876][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 15:0:12:960][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 15:0:18:761][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 15:0:18:798][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 15:0:20:779][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 15:0:20:809][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 15:0:22:828][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 15:0:22:931][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 15:0:28:646][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 15:0:28:675][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 15:0:30:676][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 15:0:30:712][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 15:0:32:731][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 15:0:32:845][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 15:0:38:645][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 15:0:38:681][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 15:0:40:664][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 15:0:40:694][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 15:0:42:712][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 15:0:42:797][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 15:0:48:531][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 15:0:48:560][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 15:0:50:561][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 15:0:50:596][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 15:0:52:597][INFO]    Sphere FOUND triggerbox RIGHT
